mask,index,timestamp,keyframe_index,group,valid_pixel_count,retained_fraction,median_m,p90_m,p95_m,p99_m,max_m,fraction_gt_0_30,global_top1_contribution,confidence_0_fraction_m0,confidence_1_fraction_m0,confidence_2_fraction_m0,zero_valid_depth
M0_RAW_POSITIVE,78,653435.595,78,2,49152,1.0,0.44707493484020233,0.6304678082466125,0.6867423087358474,0.7432706421613693,0.7714083194732666,0.7990926106770834,0.1868404540528207,0.9991048177083334,0.0008951822916666666,0.0,False
M1_CONFIDENCE_GE1,78,653435.595,78,2,44,0.0008951822916666666,0.14215847104787827,0.15127437114715578,0.15253340899944307,0.15518662095069885,0.1561497449874878,0.0,0.0,0.9991048177083334,0.0008951822916666666,0.0,False
M2_CONFIDENCE_EQ2,78,653435.595,78,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9991048177083334,0.0008951822916666666,0.0,True
M0_RAW_POSITIVE,79,653435.795,79,2,49152,1.0,0.4349164813756943,0.6361468076705933,0.692687278985977,0.7436538118124008,0.7706077098846436,0.7883707682291666,0.17598349590249654,1.0,0.0,0.0,False
M1_CONFIDENCE_GE1,79,653435.795,79,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True
M2_CONFIDENCE_EQ2,79,653435.795,79,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True
M0_RAW_POSITIVE,80,653435.995,80,2,49152,1.0,0.013700211886316538,0.08074346333742144,0.12156569212675095,0.21647475361824006,0.4156389534473419,0.0026652018229166665,0.0,0.19834391276041666,0.11448160807291667,0.6871744791666666,False
M1_CONFIDENCE_GE1,80,653435.995,80,2,39403,0.8016560872395834,0.011083211749792099,0.04037175923585894,0.05918027199804784,0.0920083214342596,0.31877440214157104,0.0002537877826561429,0.0,0.19834391276041666,0.11448160807291667,0.6871744791666666,False
M2_CONFIDENCE_EQ2,80,653435.995,80,2,33776,0.6871744791666666,0.010418528225272894,0.034577177837491035,0.048014004714787006,0.08123925887048244,0.10391484200954437,0.0,0.0,0.19834391276041666,0.11448160807291667,0.6871744791666666,False
M0_RAW_POSITIVE,81,653436.195,81,2,49152,1.0,0.014218796510249376,0.07549181655049324,0.12356285713613017,0.23403026819229122,0.38609835505485535,0.0021158854166666665,0.0,0.11623128255208333,0.122802734375,0.7609659830729166,False
M1_CONFIDENCE_GE1,81,653436.195,81,2,43439,0.8837687174479166,0.012609853409230709,0.046722423285245895,0.07281928509473799,0.14466301232576376,0.38609835505485535,0.0004604157554271507,0.0,0.11623128255208333,0.122802734375,0.7609659830729166,False
M2_CONFIDENCE_EQ2,81,653436.195,81,2,37403,0.7609659830729166,0.011210803873836994,0.03253760635852814,0.04710262864828112,0.07933621436357499,0.10757385939359665,0.0,0.0,0.11623128255208333,0.122802734375,0.7609659830729166,False
M0_RAW_POSITIVE,82,653436.494,82,2,49152,1.0,0.013722407165914774,0.07314398884773259,0.12271933928132038,0.26741869091987586,0.38638678193092346,0.0054931640625,0.0,0.08034261067708333,0.11293538411458333,0.8067220052083334,False
M1_CONFIDENCE_GE1,82,653436.494,82,2,45203,0.9196573893229166,0.012395860627293587,0.04916137829422952,0.07690275460481649,0.21502494364977043,0.38638678193092346,0.004291750547530031,0.0,0.08034261067708333,0.11293538411458333,0.8067220052083334,False
M2_CONFIDENCE_EQ2,82,653436.494,82,2,39652,0.8067220052083334,0.01122339814901352,0.034208486229181295,0.04883224274963139,0.08038149766623973,0.12607569992542267,0.0,0.0,0.08034261067708333,0.11293538411458333,0.8067220052083334,False
M0_RAW_POSITIVE,83,653436.694,83,2,49152,1.0,0.01549552520737052,0.07334022074937822,0.11204701401293267,0.19362222462892523,0.3001091182231903,2.0345052083333332e-05,0.0,0.08577473958333333,0.11334228515625,0.8008829752604166,False
M1_CONFIDENCE_GE1,83,653436.694,83,2,44936,0.9142252604166666,0.01443776162341237,0.05488676577806473,0.08058252930641174,0.15723464563488962,0.2881323993206024,0.0,0.0,0.08577473958333333,0.11334228515625,0.8008829752604166,False
M2_CONFIDENCE_EQ2,83,653436.694,83,2,39365,0.8008829752604166,0.013031932525336742,0.03724611923098564,0.05624597147107119,0.08743406742811205,0.21114273369312286,0.0,0.0,0.08577473958333333,0.11334228515625,0.8008829752604166,False
M0_RAW_POSITIVE,84,653436.911,84,3,49152,1.0,0.013359151314944029,0.08521350845694543,0.13668505325913424,0.21946806371211997,0.3761218190193176,0.00152587890625,0.0,0.11598714192708333,0.15187581380208334,0.7321370442708334,False
